pair_index,N,I_ext,g_syn,p,realizations,mean_firing_rate,std_firing_rate
1,250,0.85,0.2,0.45,100,0.0005061306532663318,3.568343174265687e-06
1,250,0.85,0.2,0.5,100,0.0005070552763819096,3.620796578632325e-06
1,250,0.85,0.2,0.55,100,0.0005082010050251256,4.020658811035827e-06
1,250,0.85,0.2,0.6000000000000001,100,0.0005089246231155779,4.9127685700014034e-06
1,250,0.85,0.2,0.65,100,0.0005101507537688442,5.706775174233189e-06
1,250,0.85,0.2,0.7000000000000001,100,0.000510713567839196,5.249971974156011e-06
1,250,0.85,0.2,0.75,100,0.0005146331658291457,7.397570835038984e-06
1,250,0.85,0.2,0.8,100,0.0005138894472361809,6.934945546602169e-06
1,250,0.85,0.2,0.8500000000000001,100,0.0005168643216080402,8.984767689477894e-06
1,250,0.85,0.2,0.9,100,0.0005202412060301508,7.991221810980999e-06
1,250,0.85,0.2,0.9500000000000001,100,0.0005207035175879397,9.732031303368373e-06
1,250,0.85,0.2,1.0,100,0.000525105527638191,1.0983965550230327e-05
2,250,0.55,0.5,0.0,100,0.48467336683417095,1.1158161231197418e-16
2,250,0.55,0.5,0.05,100,0.4930102914572864,0.0021813822542654506
2,250,0.55,0.5,0.1,100,0.49583037185929646,0.0012987245460531526
2,250,0.55,0.5,0.15000000000000002,100,0.49723973869346744,0.001429229320661488
2,250,0.55,0.5,0.2,100,0.4984455678391959,0.002052744091243291
2,250,0.55,0.5,0.25,100,0.4996449447236181,0.002502676763635215
2,250,0.55,0.5,0.30000000000000004,100,0.5016412663316582,0.0036227595143988787
2,250,0.55,0.5,0.35000000000000003,100,0.5039243417085427,0.004356264391060969
2,250,0.55,0.5,0.4,100,0.5065842010050251,0.005392486788333859
2,250,0.55,0.5,0.45,100,0.5110084824120602,0.007315855248006128
2,250,0.55,0.5,0.5,100,0.5150420703517589,0.00854464722636826
2,250,0.55,0.5,0.55,100,0.5203720201005025,0.010197658337800014
2,250,0.55,0.5,0.6000000000000001,100,0.5275079597989949,0.011979347999466816
2,250,0.55,0.5,0.65,100,0.5347669346733668,0.013941866237828586
2,250,0.55,0.5,0.7000000000000001,100,0.5471380502512564,0.015656725961609143
2,250,0.55,0.5,0.75,100,0.5592189145728643,0.019299290576370524
2,250,0.55,0.5,0.8,100,0.5708431758793969,0.0205291475319942
2,250,0.55,0.5,0.8500000000000001,100,0.5953107135678392,0.02664932261002168
2,250,0.55,0.5,0.9,100,0.6094923216080401,0.03181966810928578
2,250,0.55,0.5,0.9500000000000001,100,0.6342501105527638,0.03112559604936865
2,250,0.55,0.5,1.0,100,0.6568878592964825,0.034092312843379956
3,250,0.45,0.6,0.0,100,0.48467336683417095,1.1158161231197418e-16
3,250,0.45,0.6,0.05,100,0.49272737688442214,0.0021411033580443373
3,250,0.45,0.6,0.1,100,0.4957083015075377,0.0012755838038867448
3,250,0.45,0.6,0.15000000000000002,100,0.49731131658291455,0.001812081120791091
3,250,0.45,0.6,0.2,100,0.49844727638190955,0.0017680700826852211
3,250,0.45,0.6,0.25,100,0.49992888442211053,0.002462551828575441
3,250,0.45,0.6,0.30000000000000004,100,0.501987055276382,0.0030964927179502836
3,250,0.45,0.6,0.35000000000000003,100,0.5041326231155778,0.004143410749806886
3,250,0.45,0.6,0.4,100,0.506934351758794,0.00521873545423194
3,250,0.45,0.6,0.45,100,0.5099054472361809,0.006452279294556642
3,250,0.45,0.6,0.5,100,0.5159970653266331,0.00963601258960345
3,250,0.45,0.6,0.55,100,0.5204653668341708,0.010325071060862431
3,250,0.45,0.6,0.6000000000000001,100,0.5271677788944723,0.012829147052246127
3,250,0.45,0.6,0.65,100,0.5372584522613066,0.013368812363592487
3,250,0.45,0.6,0.7000000000000001,100,0.5472781306532664,0.018241078062945996
3,250,0.45,0.6,0.75,100,0.5576648040201004,0.01841393975488857
3,250,0.45,0.6,0.8,100,0.5763821708542713,0.024380766272159952
3,250,0.45,0.6,0.8500000000000001,100,0.591707216080402,0.026398823747859994
