N,p,realization,seed,number_of_shortcuts,total_spikes,mean_firing_rate,runtime_seconds
1000,0.2,9,2000009,200,1004,0.0005045226130653267,5.443237300030887
1000,0.25,0,2500000,250,1004,0.0005045226130653267,5.50378999998793
1000,0.25,1,2500001,250,1005,0.0005050251256281407,5.407648800057359
1000,0.25,2,2500002,250,1002,0.0005035175879396985,5.410107200033963
1000,0.25,3,2500003,250,1003,0.0005040201005025126,5.602249899995513
1000,0.25,4,2500004,250,1001,0.0005030150753768844,5.546108299982734
1000,0.25,5,2500005,250,1003,0.0005040201005025126,5.642632500035688
1000,0.25,6,2500006,250,1007,0.0005060301507537688,6.254626299953088
1000,0.25,7,2500007,250,1002,0.0005035175879396985,5.795170099940151
1000,0.25,8,2500008,250,1000,0.0005025125628140704,5.874517199932598
1000,0.25,9,2500009,250,1002,0.0005035175879396985,5.6323964999755844
1000,0.30000000000000004,0,3000000,300,1006,0.0005055276381909548,6.441281700041145
1000,0.30000000000000004,1,3000001,300,1007,0.0005060301507537688,5.829734199913219
1000,0.30000000000000004,2,3000002,300,1001,0.0005030150753768844,5.732745599932969
1000,0.30000000000000004,3,3000003,300,64097,0.032209547738693466,6.181872799992561
1000,0.30000000000000004,4,3000004,300,1005,0.0005050251256281407,5.933736300095916
1000,0.30000000000000004,5,3000005,300,1013,0.0005090452261306532,6.844409800018184
1000,0.30000000000000004,6,3000006,300,1002,0.0005035175879396985,5.959344899980351
1000,0.30000000000000004,7,3000007,300,1005,0.0005050251256281407,5.91345650004223
1000,0.30000000000000004,8,3000008,300,1007,0.0005060301507537688,6.065519700059667
1000,0.30000000000000004,9,3000009,300,1005,0.0005050251256281407,5.951156200026162
1000,0.35000000000000003,0,3500000,350,1005,0.0005050251256281407,6.243611399899237
1000,0.35000000000000003,1,3500001,350,1005,0.0005050251256281407,6.984703999944031
1000,0.35000000000000003,2,3500002,350,1003,0.0005040201005025126,5.9127384999301285
1000,0.35000000000000003,3,3500003,350,1005,0.0005050251256281407,7.478788299951702
1000,0.35000000000000003,4,3500004,350,1005,0.0005050251256281407,5.901012700051069
1000,0.35000000000000003,5,3500005,350,1003,0.0005040201005025126,5.907036900054663
1000,0.35000000000000003,6,3500006,350,1010,0.0005075376884422111,6.0941901000915095
1000,0.35000000000000003,7,3500007,350,1004,0.0005045226130653267,5.541136699961498
1000,0.35000000000000003,8,3500008,350,1005,0.0005050251256281407,6.708085900056176
1000,0.35000000000000003,9,3500009,350,1002,0.0005035175879396985,6.318394700065255
1000,0.4,0,4000000,400,1007,0.0005060301507537688,6.757315700058825
1000,0.4,1,4000001,400,1004,0.0005045226130653267,6.602965399972163
1000,0.4,2,4000002,400,1007,0.0005060301507537688,5.890257199993357
1000,0.4,3,4000003,400,1005,0.0005050251256281407,5.5331562999635935
1000,0.4,4,4000004,400,1003,0.0005040201005025126,5.7834500999888405
1000,0.4,5,4000005,400,1005,0.0005050251256281407,5.64466959994752
1000,0.4,6,4000006,400,1007,0.0005060301507537688,5.873114799964242
1000,0.4,7,4000007,400,1000,0.0005025125628140704,5.737414299976081
1000,0.4,8,4000008,400,1009,0.000507035175879397,5.930332400021143
1000,0.4,9,4000009,400,1005,0.0005050251256281407,6.098837000085041
1000,0.45,0,4500000,450,1006,0.0005055276381909548,6.062684000004083
1000,0.45,1,4500001,450,1007,0.0005060301507537688,6.051292699994519
1000,0.45,2,4500002,450,1007,0.0005060301507537688,5.867389800027013
1000,0.45,3,4500003,450,1002,0.0005035175879396985,5.827829199959524
1000,0.45,4,4500004,450,1005,0.0005050251256281407,5.778904700069688
1000,0.45,5,4500005,450,1005,0.0005050251256281407,6.260865499963984
1000,0.45,6,4500006,450,1006,0.0005055276381909548,6.164812800008804
1000,0.45,7,4500007,450,1003,0.0005040201005025126,5.784829800017178
1000,0.45,8,4500008,450,1008,0.0005065326633165829,5.802054999978282
1000,0.45,9,4500009,450,1005,0.0005050251256281407,5.7475130000384524
1000,0.5,0,5000000,500,1006,0.0005055276381909548,6.006999999983236
1000,0.5,1,5000001,500,1007,0.0005060301507537688,6.109194400021806
1000,0.5,2,5000002,500,1008,0.0005065326633165829,5.77976510010194
1000,0.5,3,5000003,500,1006,0.0005055276381909548,5.795800100080669
1000,0.5,4,5000004,500,1007,0.0005060301507537688,6.165608200011775
1000,0.5,5,5000005,500,1012,0.0005085427135678392,5.748827499919571
1000,0.5,6,5000006,500,1004,0.0005045226130653267,6.047992900013924
1000,0.5,7,5000007,500,1009,0.000507035175879397,6.380852700094692
1000,0.5,8,5000008,500,1012,0.0005085427135678392,5.825254299910739
1000,0.5,9,5000009,500,1009,0.000507035175879397,5.81028060009703
1000,0.55,0,5500000,550,1016,0.0005105527638190955,6.763644599937834
1000,0.55,1,5500001,550,1013,0.0005090452261306532,5.8540273000253364
1000,0.55,2,5500002,550,1021,0.0005130653266331659,5.81681510002818
1000,0.55,3,5500003,550,1009,0.000507035175879397,5.716320600011386
1000,0.55,4,5500004,550,1009,0.000507035175879397,5.711840800009668
1000,0.55,5,5500005,550,1007,0.0005060301507537688,5.750681099947542
1000,0.55,6,5500006,550,1008,0.0005065326633165829,7.112526900018565
1000,0.55,7,5500007,550,1009,0.000507035175879397,5.6575532999122515
1000,0.55,8,5500008,550,1013,0.0005090452261306532,5.815442000050098
1000,0.55,9,5500009,550,1012,0.0005085427135678392,6.36876880005002
1000,0.6000000000000001,0,6000000,600,1013,0.0005090452261306532,5.764940800028853
1000,0.6000000000000001,1,6000001,600,1022,0.0005135678391959799,7.956786699942313
1000,0.6000000000000001,2,6000002,600,1015,0.0005100502512562814,7.094527299981564
1000,0.6000000000000001,3,6000003,600,1007,0.0005060301507537688,6.665701799909584
1000,0.6000000000000001,4,6000004,600,1015,0.0005100502512562814,7.520115999970585
1000,0.6000000000000001,5,6000005,600,1004,0.0005045226130653267,6.280427600024268
1000,0.6000000000000001,6,6000006,600,1008,0.0005065326633165829,6.279417800018564
1000,0.6000000000000001,7,6000007,600,1009,0.000507035175879397,7.059680699952878
1000,0.6000000000000001,8,6000008,600,1011,0.0005080402010050251,6.519374000024982
1000,0.6000000000000001,9,6000009,600,1017,0.0005110552763819095,6.61596379999537
1000,0.65,0,6500000,650,1025,0.0005150753768844221,6.750953900045715
1000,0.65,1,6500001,650,1018,0.0005115577889447236,7.613180799991824
1000,0.65,2,6500002,650,1017,0.0005110552763819095,6.201359700062312
1000,0.65,3,6500003,650,1020,0.0005125628140703518,6.43725540000014
1000,0.65,4,6500004,650,1018,0.0005115577889447236,6.524609200074337
1000,0.65,5,6500005,650,1022,0.0005135678391959799,6.404994199983776
1000,0.65,6,6500006,650,1014,0.0005095477386934673,6.4317391000222415
1000,0.65,7,6500007,650,1011,0.0005080402010050251,5.911976900068112
1000,0.65,8,6500008,650,1023,0.000514070351758794,6.07153100008145
1000,0.65,9,6500009,650,1010,0.0005075376884422111,6.318663100013509
1000,0.7000000000000001,0,7000000,700,1014,0.0005095477386934673,6.247376900049858
1000,0.7000000000000001,1,7000001,700,1016,0.0005105527638190955,6.240577100077644
1000,0.7000000000000001,2,7000002,700,1031,0.0005180904522613066,7.077224400010891
1000,0.7000000000000001,3,7000003,700,1015,0.0005100502512562814,5.586561199976131
