N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,late_spikes,runtime_seconds
1000,0.05,46,50,SUCCESS,115579,3000.0,7885,8.67885310004931
1000,0.05,49,50,SUCCESS,81682,3000.0,5568,8.591625800007023
1000,0.05,48,50,SUCCESS,88522,3000.0,6003,8.684168900013901
1000,0.05,50,50,SUCCESS,101449,3000.0,6934,8.7197637000354
1000,0.05,53,50,SUCCESS,100287,3000.0,6788,8.626318700029515
1000,0.05,51,50,SUCCESS,73006,3000.0,4815,8.686672299983911
1000,0.05,52,50,SUCCESS,86956,3000.0,5920,8.71529299998656
1000,0.05,54,50,SUCCESS,86459,3000.0,5867,8.705617100000381
1000,0.05,55,50,SUCCESS,87132,3000.0,5909,8.665810500038788
1000,0.05,56,50,SUCCESS,75939,3000.0,5112,8.65433559997473
1000,0.05,57,50,SUCCESS,105758,3000.0,7158,8.662167500006035
1000,0.05,59,50,SUCCESS,113538,3000.0,7737,8.613865299965255
1000,0.05,58,50,SUCCESS,93096,3000.0,6326,8.735373300034553
1000,0.05,60,50,SUCCESS,114498,3000.0,7833,8.779191399924457
1000,0.05,61,50,SUCCESS,102934,3000.0,7174,8.701511300052516
1000,0.05,62,50,SUCCESS,108428,3000.0,7488,8.706024500075728
1000,0.05,64,50,SUCCESS,66199,3000.0,4378,8.674431100022048
1000,0.05,63,50,SUCCESS,83962,3000.0,5715,8.79135580000002
1000,0.05,65,50,SUCCESS,102991,3000.0,7051,8.827127399970777
1000,0.05,66,50,SUCCESS,66789,3000.0,4570,8.652978700003587
1000,0.05,67,50,SUCCESS,113552,3000.0,7727,8.736031999927945
1000,0.05,68,50,SUCCESS,84378,3000.0,5770,8.706856500008143
1000,0.05,69,50,SUCCESS,101325,3000.0,6945,8.625404000049457
1000,0.05,70,50,SUCCESS,91140,3000.0,5914,8.599579899921082
1000,0.05,71,50,SUCCESS,80123,3000.0,5466,8.54691959999036
1000,0.05,72,50,SUCCESS,94538,3000.0,6428,8.661114200018346
1000,0.05,73,50,SUCCESS,86397,3000.0,5915,8.714866399997845
1000,0.05,75,50,SUCCESS,105184,3000.0,7178,8.714491300052032
1000,0.05,74,50,SUCCESS,98650,3000.0,6722,8.834849499980919
1000,0.05,76,50,SUCCESS,87176,3000.0,5923,8.68545299989637
1000,0.05,77,50,SUCCESS,73734,3000.0,5028,8.335398099967279
1000,0.05,78,50,SUCCESS,75979,3000.0,5146,8.381985799991526
1000,0.05,80,50,SUCCESS,94899,3000.0,6362,8.392080399906263
1000,0.05,82,50,SUCCESS,95939,3000.0,6521,8.324838000000454
1000,0.05,79,50,SUCCESS,89778,3000.0,6086,8.479931200039573
1000,0.05,81,50,SUCCESS,104723,3000.0,7136,8.45454109995626
1000,0.05,83,50,SUCCESS,80104,3000.0,5302,8.262963199988008
1000,0.05,84,50,SUCCESS,85383,3000.0,5789,8.436818200047128
1000,0.05,85,50,SUCCESS,91175,3000.0,6229,8.345053300028667
1000,0.05,86,50,SUCCESS,113041,3000.0,7710,8.413647999987006
1000,0.05,87,50,SUCCESS,78096,3000.0,5232,8.309943199972622
1000,0.05,88,50,SUCCESS,93802,3000.0,6365,8.4044811000349
1000,0.05,89,50,SUCCESS,82855,3000.0,5718,8.290716900024563
1000,0.05,90,50,SUCCESS,91459,3000.0,6265,8.204956800094806
1000,0.05,93,50,SUCCESS,84364,3000.0,5760,8.10980199999176
1000,0.05,92,50,SUCCESS,113856,3000.0,7762,8.260652800090611
1000,0.05,91,50,SUCCESS,98028,3000.0,6689,8.310720499954186
1000,0.05,94,50,SUCCESS,105742,3000.0,7203,8.208311300026253
1000,0.05,95,50,SUCCESS,67708,3000.0,4673,8.053597999969497
1000,0.05,96,50,SUCCESS,95283,3000.0,6482,8.220008800039068
1000,0.05,97,50,SUCCESS,104612,3000.0,7177,8.142540100030601
1000,0.05,98,50,SUCCESS,99008,3000.0,6798,8.059670399990864
1000,0.05,99,50,SUCCESS,92682,3000.0,6272,3.7941859998973086
1000,0.075,6,75,SUCCESS,92922,3000.0,6252,7.903824899927713
1000,0.075,4,75,SUCCESS,105541,3000.0,7162,7.934875199920498
1000,0.075,3,75,SUCCESS,67984,3000.0,4828,7.940846399986185
1000,0.075,0,75,SUCCESS,92484,3000.0,6301,8.00010880001355
1000,0.075,5,75,SUCCESS,92079,3000.0,6211,8.0075952000916
1000,0.075,9,75,SUCCESS,95464,3000.0,6467,8.031843600096181
1000,0.075,1,75,SUCCESS,102391,3000.0,6922,8.087812700076029
