N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,activity_duration,late_spikes,runtime_seconds
2000,0.0,23,0,FAILURE,2000,1010.0,1000.0,0,3.4548195000970736
2000,0.0,24,0,FAILURE,2000,1010.0,1000.0,0,3.5550679999869317
2000,0.0,25,0,FAILURE,2000,1010.0,1000.0,0,3.579262600047514
2000,0.0,26,0,FAILURE,2000,1010.0,1000.0,0,3.4696230000117794
2000,0.0,27,0,FAILURE,2000,1010.0,1000.0,0,3.558584099984728
2000,0.0,28,0,FAILURE,2000,1010.0,1000.0,0,3.6282655999530107
2000,0.0,29,0,FAILURE,2000,1010.0,1000.0,0,3.50371019996237
2000,0.0,30,0,FAILURE,2000,1010.0,1000.0,0,3.4641261999495327
2000,0.0,31,0,FAILURE,2000,1010.0,1000.0,0,3.5512332000071183
2000,0.0,32,0,FAILURE,2000,1010.0,1000.0,0,3.5487728000152856
2000,0.0,33,0,FAILURE,2000,1010.0,1000.0,0,3.503103299997747
2000,0.0,34,0,FAILURE,2000,1010.0,1000.0,0,3.5513175999512896
2000,0.0,35,0,FAILURE,2000,1010.0,1000.0,0,3.5741184999933466
2000,0.0,36,0,FAILURE,2000,1010.0,1000.0,0,3.5499187000095844
2000,0.0,37,0,FAILURE,2000,1010.0,1000.0,0,3.6134463999187574
2000,0.0,38,0,FAILURE,2000,1010.0,1000.0,0,3.564757499960251
2000,0.0,39,0,FAILURE,2000,1010.0,1000.0,0,3.4961890999693424
2000,0.0,40,0,FAILURE,2000,1010.0,1000.0,0,3.5409398999763653
2000,0.0,41,0,FAILURE,2000,1010.0,1000.0,0,3.5789018999785185
2000,0.0,42,0,FAILURE,2000,1010.0,1000.0,0,3.505363199976273
2000,0.0,43,0,FAILURE,2000,1010.0,1000.0,0,3.5015317000215873
2000,0.0,44,0,FAILURE,2000,1010.0,1000.0,0,3.5741316999774426
2000,0.0,45,0,FAILURE,2000,1010.0,1000.0,0,3.577914800029248
2000,0.0,46,0,FAILURE,2000,1010.0,1000.0,0,3.5815709000453353
2000,0.0,47,0,FAILURE,2000,1010.0,1000.0,0,3.515362499980256
2000,0.0,48,0,FAILURE,2000,1010.0,1000.0,0,3.5103864000411704
2000,0.0,49,0,FAILURE,2000,1010.0,1000.0,0,3.498565600020811
2000,0.0,50,0,FAILURE,2000,1010.0,1000.0,0,3.4952390000689775
2000,0.0,51,0,FAILURE,2000,1010.0,1000.0,0,3.6068854000186548
2000,0.0,52,0,FAILURE,2000,1010.0,1000.0,0,4.252431700006127
2000,0.0,53,0,FAILURE,2000,1010.0,1000.0,0,3.6457258999580517
2000,0.0,54,0,FAILURE,2000,1010.0,1000.0,0,3.5487969999667257
2000,0.0,55,0,FAILURE,2000,1010.0,1000.0,0,3.6031553000211716
2000,0.0,56,0,FAILURE,2000,1010.0,1000.0,0,3.515878599951975
2000,0.0,57,0,FAILURE,2000,1010.0,1000.0,0,3.52134350000415
2000,0.0,58,0,FAILURE,2000,1010.0,1000.0,0,3.4944105999311432
2000,0.0,59,0,FAILURE,2000,1010.0,1000.0,0,3.5436917999759316
2000,0.0,60,0,FAILURE,2000,1010.0,1000.0,0,3.522249599918723
2000,0.0,61,0,FAILURE,2000,1010.0,1000.0,0,3.4804047000361606
2000,0.0,62,0,FAILURE,2000,1010.0,1000.0,0,3.56829279998783
2000,0.0,63,0,FAILURE,2000,1010.0,1000.0,0,3.6937013999558985
2000,0.0,64,0,FAILURE,2000,1010.0,1000.0,0,3.665961099904962
2000,0.0,65,0,FAILURE,2000,1010.0,1000.0,0,3.553365199943073
2000,0.0,66,0,FAILURE,2000,1010.0,1000.0,0,3.5538366000400856
2000,0.0,67,0,FAILURE,2000,1010.0,1000.0,0,3.5023298000451177
2000,0.0,68,0,FAILURE,2000,1010.0,1000.0,0,3.564286599983461
2000,0.0,69,0,FAILURE,2000,1010.0,1000.0,0,3.6154482000274584
2000,0.0,70,0,FAILURE,2000,1010.0,1000.0,0,3.5748885999200866
2000,0.0,71,0,FAILURE,2000,1010.0,1000.0,0,3.6305321999825537
2000,0.0,72,0,FAILURE,2000,1010.0,1000.0,0,3.635658400016837
2000,0.0,73,0,FAILURE,2000,1010.0,1000.0,0,3.548860299983062
2000,0.0,74,0,FAILURE,2000,1010.0,1000.0,0,3.6598263001069427
2000,0.0,75,0,FAILURE,2000,1010.0,1000.0,0,3.5698386000003666
2000,0.0,76,0,FAILURE,2000,1010.0,1000.0,0,3.572327999980189
2000,0.0,77,0,FAILURE,2000,1010.0,1000.0,0,3.550012500025332
2000,0.0,78,0,FAILURE,2000,1010.0,1000.0,0,3.643231000052765
2000,0.0,79,0,FAILURE,2000,1010.0,1000.0,0,3.6075708999997005
2000,0.0,80,0,FAILURE,2000,1010.0,1000.0,0,3.581329600070603
2000,0.0,81,0,FAILURE,2000,1010.0,1000.0,0,3.6960907999891788
2000,0.0,82,0,FAILURE,2000,1010.0,1000.0,0,3.580962000065483
2000,0.0,83,0,FAILURE,2000,1010.0,1000.0,0,3.64576240000315
2000,0.0,84,0,FAILURE,2000,1010.0,1000.0,0,3.5664005000144243
2000,0.0,85,0,FAILURE,2000,1010.0,1000.0,0,3.630471899989061
2000,0.0,86,0,FAILURE,2000,1010.0,1000.0,0,3.5642117999959737
2000,0.0,87,0,FAILURE,2000,1010.0,1000.0,0,3.5882210000418127
2000,0.0,88,0,FAILURE,2000,1010.0,1000.0,0,3.5424373999703676
2000,0.0,89,0,FAILURE,2000,1010.0,1000.0,0,3.639173400006257
2000,0.0,90,0,FAILURE,2000,1010.0,1000.0,0,3.633663999964483
2000,0.0,91,0,FAILURE,2000,1010.0,1000.0,0,3.5814497999381274
2000,0.0,92,0,FAILURE,2000,1010.0,1000.0,0,3.5472500999458134
2000,0.0,93,0,FAILURE,2000,1010.0,1000.0,0,3.596547900000587
2000,0.0,94,0,FAILURE,2000,1010.0,1000.0,0,3.813381199957803
2000,0.0,95,0,FAILURE,2000,1010.0,1000.0,0,3.781227800063789
2000,0.0,96,0,FAILURE,2000,1010.0,1000.0,0,3.6662435000762343
2000,0.0,97,0,FAILURE,2000,1010.0,1000.0,0,3.637876500026323
2000,0.0,98,0,FAILURE,2000,1010.0,1000.0,0,3.6331109000602737
2000,0.0,99,0,FAILURE,2000,1010.0,1000.0,0,3.788246500073001
2000,0.05263157894736842,0,105,SUCCESS,184394,3000.0,2990.0,12561,3.866211000015028
2000,0.05263157894736842,1,105,SUCCESS,203242,3000.0,2990.0,13859,3.8776383000658825
2000,0.05263157894736842,2,105,SUCCESS,211840,3000.0,2990.0,14335,3.8935443999944255
2000,0.05263157894736842,3,105,SUCCESS,197878,3000.0,2990.0,13491,3.835244599962607
2000,0.05263157894736842,4,105,SUCCESS,182435,3000.0,2990.0,12525,3.776075499947183
2000,0.05263157894736842,5,105,SUCCESS,202229,3000.0,2990.0,13651,3.7404404999688268
2000,0.05263157894736842,6,105,SUCCESS,168451,3000.0,2990.0,11417,3.826455599977635
2000,0.05263157894736842,7,105,SUCCESS,214881,3000.0,2990.0,14910,3.7943654000991955
2000,0.05263157894736842,8,105,SUCCESS,178953,3000.0,2990.0,12190,3.8680423001060262
2000,0.05263157894736842,9,105,SUCCESS,197362,3000.0,2990.0,12074,3.7605927999829873
2000,0.05263157894736842,10,105,SUCCESS,232628,3000.0,2990.0,16074,3.8244185999501497
2000,0.05263157894736842,11,105,SUCCESS,184866,3000.0,2990.0,12507,3.741280799964443
2000,0.05263157894736842,12,105,SUCCESS,199490,3000.0,2990.0,13854,3.8132847000379115
2000,0.05263157894736842,13,105,SUCCESS,181089,3000.0,2990.0,12454,3.7858636000892147
2000,0.05263157894736842,14,105,SUCCESS,188856,3000.0,2990.0,13018,3.80651340004988
