p,seed,N,number_of_shortcuts,status,total_spikes,last_spike_time,persistence_duration,spikes_in_final_window
0.0,40,100,0,FAILURE,100,60.0,50.0,0
0.0,41,100,0,FAILURE,100,60.0,50.0,0
0.0,42,100,0,FAILURE,100,60.0,50.0,0
0.0,43,100,0,FAILURE,100,60.0,50.0,0
0.0,44,100,0,FAILURE,100,60.0,50.0,0
0.0,45,100,0,FAILURE,100,60.0,50.0,0
0.0,46,100,0,FAILURE,100,60.0,50.0,0
0.0,47,100,0,FAILURE,100,60.0,50.0,0
0.0,48,100,0,FAILURE,100,60.0,50.0,0
0.0,49,100,0,FAILURE,100,60.0,50.0,0
0.02,0,100,2,FAILURE,100,49.0,39.0,0
0.02,1,100,2,FAILURE,100,50.0,40.0,0
0.02,2,100,2,FAILURE,100,60.0,50.0,0
0.02,3,100,2,FAILURE,100,55.0,45.0,0
0.02,4,100,2,SUCCESS,631,200.0,190.0,81
0.02,5,100,2,FAILURE,101,54.0,44.0,0
0.02,6,100,2,FAILURE,100,53.0,43.0,0
0.02,7,100,2,FAILURE,100,50.0,40.0,0
0.02,8,100,2,FAILURE,100,50.0,40.0,0
0.02,9,100,2,FAILURE,100,44.0,34.0,0
0.02,10,100,2,FAILURE,100,49.0,39.0,0
0.02,11,100,2,SUCCESS,608,200.0,190.0,77
0.02,12,100,2,FAILURE,100,52.0,42.0,0
0.02,13,100,2,FAILURE,100,58.0,48.0,0
0.02,14,100,2,FAILURE,100,60.0,50.0,0
0.02,15,100,2,FAILURE,100,55.0,45.0,0
0.02,16,100,2,FAILURE,100,59.0,49.0,0
0.02,17,100,2,FAILURE,100,55.0,45.0,0
0.02,18,100,2,SUCCESS,486,200.0,190.0,55
0.02,19,100,2,FAILURE,100,47.0,37.0,0
0.02,20,100,2,FAILURE,100,60.0,50.0,0
0.02,21,100,2,FAILURE,100,56.0,46.0,0
0.02,22,100,2,FAILURE,100,52.0,42.0,0
0.02,23,100,2,SUCCESS,480,200.0,190.0,47
0.02,24,100,2,FAILURE,100,58.0,48.0,0
0.02,25,100,2,FAILURE,100,43.0,33.0,0
0.02,26,100,2,SUCCESS,501,200.0,190.0,45
0.02,27,100,2,SUCCESS,510,200.0,190.0,65
0.02,28,100,2,FAILURE,100,51.0,41.0,0
0.02,29,100,2,FAILURE,100,59.0,49.0,0
0.02,30,100,2,FAILURE,100,60.0,50.0,0
0.02,31,100,2,FAILURE,100,33.0,23.0,0
0.02,32,100,2,SUCCESS,606,200.0,190.0,71
0.02,33,100,2,SUCCESS,476,200.0,190.0,42
0.02,34,100,2,FAILURE,100,57.0,47.0,0
0.02,35,100,2,SUCCESS,498,200.0,190.0,53
0.02,36,100,2,FAILURE,100,49.0,39.0,0
0.02,37,100,2,FAILURE,100,59.0,49.0,0
0.02,38,100,2,FAILURE,100,56.0,46.0,0
0.02,39,100,2,SUCCESS,592,200.0,190.0,62
0.02,40,100,2,SUCCESS,533,200.0,190.0,74
0.02,41,100,2,FAILURE,100,46.0,36.0,0
0.02,42,100,2,FAILURE,100,60.0,50.0,0
0.02,43,100,2,FAILURE,100,38.0,28.0,0
0.02,44,100,2,FAILURE,100,49.0,39.0,0
0.02,45,100,2,SUCCESS,486,200.0,190.0,49
0.02,46,100,2,FAILURE,100,40.0,30.0,0
0.02,47,100,2,SUCCESS,498,200.0,190.0,55
0.02,48,100,2,SUCCESS,654,200.0,190.0,87
0.02,49,100,2,SUCCESS,611,200.0,190.0,82
0.04,0,100,4,FAILURE,100,40.0,30.0,0
0.04,1,100,4,FAILURE,100,50.0,40.0,0
0.04,2,100,4,FAILURE,100,32.0,22.0,0
0.04,3,100,4,SUCCESS,617,200.0,190.0,84
0.04,4,100,4,SUCCESS,631,200.0,190.0,80
0.04,5,100,4,FAILURE,101,51.0,41.0,0
0.04,6,100,4,SUCCESS,445,200.0,190.0,56
0.04,7,100,4,FAILURE,100,43.0,33.0,0
0.04,8,100,4,FAILURE,100,50.0,40.0,0
0.04,9,100,4,FAILURE,100,44.0,34.0,0
0.04,10,100,4,FAILURE,100,42.0,32.0,0
0.04,11,100,4,FAILURE,100,36.0,26.0,0
0.04,12,100,4,FAILURE,100,52.0,42.0,0
0.04,13,100,4,FAILURE,100,58.0,48.0,0
0.04,14,100,4,FAILURE,100,50.0,40.0,0
0.04,15,100,4,FAILURE,100,48.0,38.0,0
0.04,16,100,4,FAILURE,100,51.0,41.0,0
0.04,17,100,4,FAILURE,100,55.0,45.0,0
0.04,18,100,4,FAILURE,100,46.0,36.0,0
0.04,19,100,4,FAILURE,100,39.0,29.0,0
0.04,20,100,4,SUCCESS,634,200.0,190.0,81
0.04,21,100,4,FAILURE,100,40.0,30.0,0
0.04,22,100,4,FAILURE,100,52.0,42.0,0
0.04,23,100,4,FAILURE,100,43.0,33.0,0
0.04,24,100,4,SUCCESS,535,200.0,190.0,72
0.04,25,100,4,FAILURE,100,43.0,33.0,0
0.04,26,100,4,SUCCESS,607,200.0,190.0,62
0.04,27,100,4,FAILURE,100,56.0,46.0,0
0.04,28,100,4,FAILURE,100,44.0,34.0,0
0.04,29,100,4,FAILURE,100,56.0,46.0,0
0.04,30,100,4,FAILURE,100,45.0,35.0,0
0.04,31,100,4,FAILURE,100,33.0,23.0,0
0.04,32,100,4,SUCCESS,606,200.0,190.0,68
0.04,33,100,4,SUCCESS,480,200.0,190.0,46
0.04,34,100,4,SUCCESS,577,200.0,190.0,70
0.04,35,100,4,SUCCESS,535,200.0,190.0,52
0.04,36,100,4,FAILURE,100,34.0,24.0,0
0.04,37,100,4,FAILURE,101,50.0,40.0,0
0.04,38,100,4,FAILURE,100,51.0,41.0,0
0.04,39,100,4,SUCCESS,608,200.0,190.0,73
0.04,40,100,4,FAILURE,100,41.0,31.0,0
0.04,41,100,4,FAILURE,100,39.0,29.0,0
0.04,42,100,4,FAILURE,100,46.0,36.0,0
0.04,43,100,4,FAILURE,100,38.0,28.0,0
0.04,44,100,4,FAILURE,100,44.0,34.0,0
0.04,45,100,4,FAILURE,100,49.0,39.0,0
0.04,46,100,4,FAILURE,100,29.0,19.0,0
0.04,47,100,4,SUCCESS,498,200.0,190.0,55
0.04,48,100,4,SUCCESS,667,200.0,190.0,87
0.04,49,100,4,SUCCESS,531,200.0,190.0,67
0.06,0,100,6,FAILURE,100,31.0,21.0,0
0.06,1,100,6,SUCCESS,467,200.0,190.0,43
0.06,2,100,6,FAILURE,100,32.0,22.0,0
0.06,3,100,6,SUCCESS,617,200.0,190.0,84
0.06,4,100,6,SUCCESS,697,200.0,190.0,79
0.06,5,100,6,FAILURE,101,50.0,40.0,0
0.06,6,100,6,FAILURE,100,37.0,27.0,0
0.06,7,100,6,FAILURE,100,43.0,33.0,0
0.06,8,100,6,FAILURE,100,49.0,39.0,0
0.06,9,100,6,FAILURE,100,44.0,34.0,0
0.06,10,100,6,SUCCESS,612,200.0,190.0,60
0.06,11,100,6,FAILURE,100,36.0,26.0,0
0.06,12,100,6,FAILURE,100,46.0,36.0,0
0.06,13,100,6,FAILURE,100,49.0,39.0,0
0.06,14,100,6,SUCCESS,595,200.0,190.0,69
0.06,15,100,6,FAILURE,100,48.0,38.0,0
0.06,16,100,6,FAILURE,100,36.0,26.0,0
0.06,17,100,6,FAILURE,100,52.0,42.0,0
0.06,18,100,6,FAILURE,100,43.0,33.0,0
0.06,19,100,6,FAILURE,100,37.0,27.0,0
0.06,20,100,6,SUCCESS,637,200.0,190.0,69
0.06,21,100,6,FAILURE,100,39.0,29.0,0
0.06,22,100,6,FAILURE,100,45.0,35.0,0
0.06,23,100,6,FAILURE,100,35.0,25.0,0
0.06,24,100,6,SUCCESS,570,200.0,190.0,70
0.06,25,100,6,FAILURE,100,36.0,26.0,0
0.06,26,100,6,SUCCESS,699,200.0,190.0,78
0.06,27,100,6,FAILURE,100,33.0,23.0,0
0.06,28,100,6,FAILURE,100,44.0,34.0,0
0.06,29,100,6,FAILURE,100,45.0,35.0,0
0.06,30,100,6,FAILURE,100,37.0,27.0,0
0.06,31,100,6,FAILURE,100,33.0,23.0,0
0.06,32,100,6,FAILURE,100,38.0,28.0,0
0.06,33,100,6,SUCCESS,494,200.0,190.0,49
0.06,34,100,6,SUCCESS,483,200.0,190.0,43
0.06,35,100,6,FAILURE,100,36.0,26.0,0
0.06,36,100,6,FAILURE,100,34.0,24.0,0
0.06,37,100,6,FAILURE,101,50.0,40.0,0
0.06,38,100,6,FAILURE,100,45.0,35.0,0
0.06,39,100,6,SUCCESS,609,200.0,190.0,75
0.06,40,100,6,FAILURE,100,41.0,31.0,0
0.06,41,100,6,FAILURE,100,39.0,29.0,0
0.06,42,100,6,FAILURE,100,38.0,28.0,0
0.06,43,100,6,FAILURE,100,32.0,22.0,0
0.06,44,100,6,FAILURE,100,36.0,26.0,0
0.06,45,100,6,FAILURE,100,49.0,39.0,0
0.06,46,100,6,FAILURE,100,29.0,19.0,0
0.06,47,100,6,FAILURE,100,42.0,32.0,0
0.06,48,100,6,SUCCESS,667,200.0,190.0,87
0.06,49,100,6,FAILURE,100,35.0,25.0,0
0.08,0,100,8,FAILURE,100,27.0,17.0,0
0.08,1,100,8,FAILURE,100,50.0,40.0,0
0.08,2,100,8,FAILURE,100,32.0,22.0,0
0.08,3,100,8,SUCCESS,625,200.0,190.0,84
0.08,4,100,8,FAILURE,100,34.0,24.0,0
0.08,5,100,8,FAILURE,100,46.0,36.0,0
0.08,6,100,8,FAILURE,100,33.0,23.0,0
0.08,7,100,8,FAILURE,100,29.0,19.0,0
0.08,8,100,8,FAILURE,100,46.0,36.0,0
0.08,9,100,8,FAILURE,100,44.0,34.0,0
0.08,10,100,8,FAILURE,100,30.0,20.0,0
0.08,11,100,8,FAILURE,100,36.0,26.0,0
0.08,12,100,8,FAILURE,100,46.0,36.0,0
0.08,13,100,8,FAILURE,100,49.0,39.0,0
0.08,14,100,8,SUCCESS,595,200.0,190.0,69
0.08,15,100,8,FAILURE,100,42.0,32.0,0
0.08,16,100,8,FAILURE,100,30.0,20.0,0
0.08,17,100,8,SUCCESS,577,200.0,190.0,52
0.08,18,100,8,FAILURE,100,43.0,33.0,0
0.08,19,100,8,FAILURE,100,35.0,25.0,0
0.08,20,100,8,SUCCESS,642,200.0,190.0,63
0.08,21,100,8,FAILURE,100,38.0,28.0,0
0.08,22,100,8,FAILURE,100,39.0,29.0,0
0.08,23,100,8,FAILURE,100,34.0,24.0,0
0.08,24,100,8,FAILURE,100,36.0,26.0,0
0.08,25,100,8,FAILURE,100,26.0,16.0,0
0.08,26,100,8,SUCCESS,699,200.0,190.0,78
0.08,27,100,8,FAILURE,100,30.0,20.0,0
0.08,28,100,8,FAILURE,100,44.0,34.0,0
0.08,29,100,8,FAILURE,100,45.0,35.0,0
0.08,30,100,8,FAILURE,100,37.0,27.0,0
0.08,31,100,8,FAILURE,100,33.0,23.0,0
0.08,32,100,8,FAILURE,100,38.0,28.0,0
0.08,33,100,8,SUCCESS,623,200.0,190.0,78
0.08,34,100,8,SUCCESS,527,200.0,190.0,45
0.08,35,100,8,FAILURE,100,33.0,23.0,0
0.08,36,100,8,FAILURE,100,34.0,24.0,0
0.08,37,100,8,FAILURE,101,50.0,40.0,0
0.08,38,100,8,FAILURE,100,43.0,33.0,0
0.08,39,100,8,FAILURE,100,35.0,25.0,0
0.08,40,100,8,FAILURE,100,41.0,31.0,0
0.08,41,100,8,FAILURE,100,39.0,29.0,0
0.08,42,100,8,FAILURE,100,38.0,28.0,0
0.08,43,100,8,FAILURE,100,31.0,21.0,0
0.08,44,100,8,FAILURE,100,36.0,26.0,0
0.08,45,100,8,FAILURE,100,49.0,39.0,0
0.08,46,100,8,FAILURE,100,28.0,18.0,0
0.08,47,100,8,FAILURE,100,37.0,27.0,0
0.08,48,100,8,SUCCESS,634,200.0,190.0,83
0.08,49,100,8,FAILURE,100,35.0,25.0,0
0.1,0,100,10,FAILURE,100,26.0,16.0,0
0.1,1,100,10,FAILURE,100,50.0,40.0,0
0.1,2,100,10,FAILURE,100,32.0,22.0,0
0.1,3,100,10,SUCCESS,674,200.0,190.0,68
0.1,4,100,10,FAILURE,100,34.0,24.0,0
0.1,5,100,10,FAILURE,100,44.0,34.0,0
0.1,6,100,10,FAILURE,100,33.0,23.0,0
0.1,7,100,10,FAILURE,100,29.0,19.0,0
0.1,8,100,10,FAILURE,100,45.0,35.0,0
0.1,9,100,10,FAILURE,100,37.0,27.0,0
0.1,10,100,10,FAILURE,100,29.0,19.0,0
0.1,11,100,10,FAILURE,100,36.0,26.0,0
0.1,12,100,10,FAILURE,100,33.0,23.0,0
0.1,13,100,10,FAILURE,100,49.0,39.0,0
0.1,14,100,10,SUCCESS,595,200.0,190.0,69
0.1,15,100,10,FAILURE,100,34.0,24.0,0
0.1,16,100,10,FAILURE,100,30.0,20.0,0
0.1,17,100,10,SUCCESS,577,200.0,190.0,51
0.1,18,100,10,FAILURE,100,43.0,33.0,0
0.1,19,100,10,FAILURE,100,33.0,23.0,0
0.1,20,100,10,SUCCESS,642,200.0,190.0,63
0.1,21,100,10,FAILURE,100,33.0,23.0,0
0.1,22,100,10,FAILURE,100,39.0,29.0,0
0.1,23,100,10,FAILURE,100,34.0,24.0,0
0.1,24,100,10,FAILURE,100,36.0,26.0,0
0.1,25,100,10,FAILURE,100,26.0,16.0,0
0.1,26,100,10,SUCCESS,699,200.0,190.0,78
0.1,27,100,10,FAILURE,100,30.0,20.0,0
0.1,28,100,10,FAILURE,100,44.0,34.0,0
0.1,29,100,10,FAILURE,100,42.0,32.0,0
0.1,30,100,10,FAILURE,100,37.0,27.0,0
0.1,31,100,10,FAILURE,100,28.0,18.0,0
0.1,32,100,10,FAILURE,100,31.0,21.0,0
0.1,33,100,10,SUCCESS,627,200.0,190.0,67
0.1,34,100,10,SUCCESS,643,200.0,190.0,64
0.1,35,100,10,FAILURE,100,33.0,23.0,0
0.1,36,100,10,FAILURE,100,34.0,24.0,0
0.1,37,100,10,FAILURE,101,40.0,30.0,0
0.1,38,100,10,FAILURE,103,43.0,33.0,0
0.1,39,100,10,FAILURE,100,34.0,24.0,0
0.1,40,100,10,FAILURE,100,41.0,31.0,0
0.1,41,100,10,FAILURE,100,34.0,24.0,0
0.1,42,100,10,FAILURE,100,30.0,20.0,0
0.1,43,100,10,FAILURE,100,30.0,20.0,0
0.1,44,100,10,FAILURE,100,33.0,23.0,0
0.1,45,100,10,FAILURE,100,48.0,38.0,0
0.1,46,100,10,FAILURE,100,28.0,18.0,0
0.1,47,100,10,FAILURE,100,32.0,22.0,0
0.1,48,100,10,FAILURE,100,43.0,33.0,0
0.1,49,100,10,FAILURE,100,35.0,25.0,0
0.12,0,100,12,FAILURE,100,25.0,15.0,0
0.12,1,100,12,FAILURE,100,50.0,40.0,0
0.12,2,100,12,FAILURE,100,32.0,22.0,0
0.12,3,100,12,SUCCESS,566,200.0,190.0,56
0.12,4,100,12,FAILURE,100,34.0,24.0,0
0.12,5,100,12,FAILURE,100,44.0,34.0,0
0.12,6,100,12,FAILURE,100,32.0,22.0,0
0.12,7,100,12,FAILURE,100,29.0,19.0,0
0.12,8,100,12,FAILURE,100,39.0,29.0,0
0.12,9,100,12,FAILURE,100,37.0,27.0,0
0.12,10,100,12,FAILURE,100,28.0,18.0,0
0.12,11,100,12,FAILURE,100,32.0,22.0,0
0.12,12,100,12,FAILURE,100,33.0,23.0,0
0.12,13,100,12,FAILURE,100,27.0,17.0,0
0.12,14,100,12,SUCCESS,605,200.0,190.0,79
0.12,15,100,12,FAILURE,100,34.0,24.0,0
0.12,16,100,12,FAILURE,100,29.0,19.0,0
0.12,17,100,12,FAILURE,100,46.0,36.0,0
0.12,18,100,12,FAILURE,100,34.0,24.0,0
0.12,19,100,12,FAILURE,100,33.0,23.0,0
0.12,20,100,12,FAILURE,100,34.0,24.0,0
0.12,21,100,12,FAILURE,100,32.0,22.0,0
0.12,22,100,12,FAILURE,100,36.0,26.0,0
0.12,23,100,12,FAILURE,100,28.0,18.0,0
0.12,24,100,12,FAILURE,100,36.0,26.0,0
0.12,25,100,12,FAILURE,100,26.0,16.0,0
0.12,26,100,12,SUCCESS,699,200.0,190.0,78
0.12,27,100,12,FAILURE,100,30.0,20.0,0
0.12,28,100,12,FAILURE,100,35.0,25.0,0
0.12,29,100,12,FAILURE,100,33.0,23.0,0
0.12,30,100,12,FAILURE,100,37.0,27.0,0
0.12,31,100,12,FAILURE,100,28.0,18.0,0
0.12,32,100,12,FAILURE,100,31.0,21.0,0
0.12,33,100,12,FAILURE,100,32.0,22.0,0
0.12,34,100,12,SUCCESS,643,200.0,190.0,64
0.12,35,100,12,FAILURE,100,33.0,23.0,0
0.12,36,100,12,FAILURE,100,34.0,24.0,0
0.12,37,100,12,FAILURE,100,38.0,28.0,0
0.12,38,100,12,FAILURE,103,32.0,22.0,0
0.12,39,100,12,FAILURE,100,29.0,19.0,0
0.12,40,100,12,FAILURE,100,36.0,26.0,0
0.12,41,100,12,FAILURE,100,34.0,24.0,0
0.12,42,100,12,FAILURE,100,24.0,14.0,0
0.12,43,100,12,FAILURE,100,30.0,20.0,0
0.12,44,100,12,FAILURE,100,30.0,20.0,0
0.12,45,100,12,FAILURE,100,48.0,38.0,0
0.12,46,100,12,FAILURE,100,28.0,18.0,0
0.12,47,100,12,FAILURE,100,32.0,22.0,0
0.12,48,100,12,FAILURE,100,43.0,33.0,0
0.12,49,100,12,FAILURE,100,35.0,25.0,0
0.14,0,100,14,FAILURE,100,25.0,15.0,0
0.14,1,100,14,FAILURE,100,34.0,24.0,0
0.14,2,100,14,FAILURE,100,32.0,22.0,0
0.14,3,100,14,SUCCESS,570,200.0,190.0,51
0.14,4,100,14,FAILURE,100,34.0,24.0,0
0.14,5,100,14,FAILURE,100,37.0,27.0,0
0.14,6,100,14,FAILURE,100,26.0,16.0,0
0.14,7,100,14,FAILURE,100,29.0,19.0,0
0.14,8,100,14,FAILURE,100,35.0,25.0,0
0.14,9,100,14,FAILURE,100,37.0,27.0,0
0.14,10,100,14,FAILURE,100,25.0,15.0,0
0.14,11,100,14,FAILURE,100,31.0,21.0,0
0.14,12,100,14,FAILURE,101,33.0,23.0,0
0.14,13,100,14,FAILURE,101,27.0,17.0,0
0.14,14,100,14,SUCCESS,608,200.0,190.0,83
0.14,15,100,14,FAILURE,100,25.0,15.0,0
0.14,16,100,14,FAILURE,100,24.0,14.0,0
0.14,17,100,14,FAILURE,100,39.0,29.0,0
0.14,18,100,14,FAILURE,100,33.0,23.0,0
0.14,19,100,14,FAILURE,100,33.0,23.0,0
0.14,20,100,14,FAILURE,100,34.0,24.0,0
0.14,21,100,14,FAILURE,100,31.0,21.0,0
0.14,22,100,14,FAILURE,100,36.0,26.0,0
0.14,23,100,14,FAILURE,100,28.0,18.0,0
0.14,24,100,14,FAILURE,100,36.0,26.0,0
0.14,25,100,14,FAILURE,100,25.0,15.0,0
0.14,26,100,14,SUCCESS,725,200.0,190.0,77
0.14,27,100,14,FAILURE,100,30.0,20.0,0
0.14,28,100,14,FAILURE,100,35.0,25.0,0
0.14,29,100,14,FAILURE,100,29.0,19.0,0
0.14,30,100,14,FAILURE,100,36.0,26.0,0
0.14,31,100,14,FAILURE,100,25.0,15.0,0
0.14,32,100,14,FAILURE,100,30.0,20.0,0
0.14,33,100,14,FAILURE,100,32.0,22.0,0
0.14,34,100,14,SUCCESS,653,200.0,190.0,71
0.14,35,100,14,FAILURE,100,33.0,23.0,0
0.14,36,100,14,FAILURE,100,31.0,21.0,0
0.14,37,100,14,FAILURE,100,38.0,28.0,0
0.14,38,100,14,FAILURE,103,32.0,22.0,0
0.14,39,100,14,FAILURE,100,27.0,17.0,0
0.14,40,100,14,FAILURE,100,36.0,26.0,0
0.14,41,100,14,FAILURE,100,30.0,20.0,0
0.14,42,100,14,FAILURE,100,24.0,14.0,0
0.14,43,100,14,FAILURE,100,30.0,20.0,0
0.14,44,100,14,FAILURE,100,30.0,20.0,0
0.14,45,100,14,SUCCESS,551,200.0,190.0,84
0.14,46,100,14,FAILURE,100,24.0,14.0,0
0.14,47,100,14,FAILURE,100,32.0,22.0,0
0.14,48,100,14,FAILURE,100,43.0,33.0,0
0.14,49,100,14,FAILURE,100,35.0,25.0,0
0.16,0,100,16,FAILURE,100,24.0,14.0,0
0.16,1,100,16,FAILURE,100,34.0,24.0,0
0.16,2,100,16,FAILURE,100,32.0,22.0,0
0.16,3,100,16,SUCCESS,585,200.0,190.0,62
0.16,4,100,16,FAILURE,100,34.0,24.0,0
0.16,5,100,16,FAILURE,100,37.0,27.0,0
0.16,6,100,16,FAILURE,100,26.0,16.0,0
0.16,7,100,16,FAILURE,100,29.0,19.0,0
0.16,8,100,16,FAILURE,100,35.0,25.0,0
0.16,9,100,16,FAILURE,100,37.0,27.0,0
0.16,10,100,16,FAILURE,100,25.0,15.0,0
0.16,11,100,16,FAILURE,100,31.0,21.0,0
0.16,12,100,16,FAILURE,101,33.0,23.0,0
0.16,13,100,16,FAILURE,101,27.0,17.0,0
0.16,14,100,16,FAILURE,215,83.0,73.0,0
0.16,15,100,16,FAILURE,100,25.0,15.0,0
0.16,16,100,16,FAILURE,100,24.0,14.0,0
0.16,17,100,16,FAILURE,100,34.0,24.0,0
0.16,18,100,16,FAILURE,100,32.0,22.0,0
0.16,19,100,16,FAILURE,100,33.0,23.0,0
0.16,20,100,16,FAILURE,100,28.0,18.0,0
0.16,21,100,16,FAILURE,100,27.0,17.0,0
0.16,22,100,16,FAILURE,100,28.0,18.0,0
0.16,23,100,16,FAILURE,100,28.0,18.0,0
0.16,24,100,16,FAILURE,100,36.0,26.0,0
0.16,25,100,16,FAILURE,100,25.0,15.0,0
0.16,26,100,16,SUCCESS,725,200.0,190.0,77
0.16,27,100,16,FAILURE,100,30.0,20.0,0
0.16,28,100,16,FAILURE,100,35.0,25.0,0
0.16,29,100,16,FAILURE,100,29.0,19.0,0
0.16,30,100,16,FAILURE,100,32.0,22.0,0
0.16,31,100,16,FAILURE,100,25.0,15.0,0
0.16,32,100,16,FAILURE,100,30.0,20.0,0
0.16,33,100,16,FAILURE,100,30.0,20.0,0
0.16,34,100,16,SUCCESS,653,200.0,190.0,71
0.16,35,100,16,FAILURE,100,32.0,22.0,0
0.16,36,100,16,FAILURE,100,28.0,18.0,0
0.16,37,100,16,FAILURE,102,35.0,25.0,0
0.16,38,100,16,FAILURE,103,32.0,22.0,0
0.16,39,100,16,FAILURE,100,27.0,17.0,0
0.16,40,100,16,FAILURE,100,29.0,19.0,0
0.16,41,100,16,FAILURE,100,30.0,20.0,0
0.16,42,100,16,FAILURE,100,21.0,11.0,0
0.16,43,100,16,FAILURE,100,28.0,18.0,0
0.16,44,100,16,FAILURE,100,27.0,17.0,0
0.16,45,100,16,FAILURE,100,40.0,30.0,0
0.16,46,100,16,FAILURE,100,24.0,14.0,0
0.16,47,100,16,FAILURE,100,32.0,22.0,0
0.16,48,100,16,FAILURE,100,43.0,33.0,0
0.16,49,100,16,FAILURE,100,35.0,25.0,0
0.18,0,100,18,FAILURE,100,24.0,14.0,0
0.18,1,100,18,FAILURE,100,31.0,21.0,0
0.18,2,100,18,FAILURE,100,32.0,22.0,0
0.18,3,100,18,SUCCESS,627,200.0,190.0,73
0.18,4,100,18,FAILURE,100,28.0,18.0,0
0.18,5,100,18,FAILURE,100,37.0,27.0,0
0.18,6,100,18,FAILURE,100,25.0,15.0,0
0.18,7,100,18,FAILURE,100,24.0,14.0,0
0.18,8,100,18,FAILURE,100,35.0,25.0,0
0.18,9,100,18,FAILURE,100,30.0,20.0,0
0.18,10,100,18,FAILURE,100,25.0,15.0,0
0.18,11,100,18,FAILURE,100,28.0,18.0,0
0.18,12,100,18,FAILURE,101,33.0,23.0,0
0.18,13,100,18,FAILURE,101,27.0,17.0,0
0.18,14,100,18,SUCCESS,606,200.0,190.0,88
0.18,15,100,18,FAILURE,100,22.0,12.0,0
0.18,16,100,18,FAILURE,100,24.0,14.0,0
0.18,17,100,18,FAILURE,100,34.0,24.0,0
0.18,18,100,18,FAILURE,100,32.0,22.0,0
0.18,19,100,18,FAILURE,103,33.0,23.0,0
0.18,20,100,18,FAILURE,100,28.0,18.0,0
0.18,21,100,18,FAILURE,100,27.0,17.0,0
0.18,22,100,18,FAILURE,100,28.0,18.0,0
0.18,23,100,18,FAILURE,100,27.0,17.0,0
0.18,24,100,18,FAILURE,100,36.0,26.0,0
0.18,25,100,18,FAILURE,100,24.0,14.0,0
0.18,26,100,18,FAILURE,104,35.0,25.0,0
0.18,27,100,18,FAILURE,100,26.0,16.0,0
0.18,28,100,18,FAILURE,100,30.0,20.0,0
0.18,29,100,18,FAILURE,100,29.0,19.0,0
0.18,30,100,18,FAILURE,100,32.0,22.0,0
0.18,31,100,18,FAILURE,100,24.0,14.0,0
0.18,32,100,18,FAILURE,100,26.0,16.0,0
0.18,33,100,18,FAILURE,100,27.0,17.0,0
0.18,34,100,18,FAILURE,100,30.0,20.0,0
0.18,35,100,18,FAILURE,100,32.0,22.0,0
0.18,36,100,18,FAILURE,100,28.0,18.0,0
0.18,37,100,18,FAILURE,102,35.0,25.0,0
0.18,38,100,18,FAILURE,103,32.0,22.0,0
0.18,39,100,18,FAILURE,100,27.0,17.0,0
0.18,40,100,18,FAILURE,100,27.0,17.0,0
0.18,41,100,18,FAILURE,100,28.0,18.0,0
0.18,42,100,18,FAILURE,100,21.0,11.0,0
0.18,43,100,18,FAILURE,100,27.0,17.0,0
