current_index,N,I_ext,g_syn,p,realization,seed,number_of_shortcuts,total_spikes,mean_firing_rate,runtime_seconds
1,250,0.75,0.4,0.6000000000000001,0,1060000,150,70265,0.1412361809045226,4.700000099954195
1,250,0.75,0.4,0.6000000000000001,1,1060001,150,77810,0.15640201005025126,4.813291299971752
1,250,0.75,0.4,0.6000000000000001,2,1060002,150,71304,0.1433246231155779,4.710845699999481
1,250,0.75,0.4,0.8,0,1080000,200,81757,0.1643356783919598,4.766506200074218
1,250,0.75,0.4,0.8,1,1080001,200,81110,0.16303517587939698,4.786285900045186
1,250,0.75,0.4,0.8,2,1080002,200,84353,0.1695537688442211,4.758628100040369
1,250,0.75,0.4,1.0,0,1100000,250,98366,0.19772060301507538,4.792780500021763
1,250,0.75,0.4,1.0,1,1100001,250,97197,0.19537085427135678,4.800166699918918
1,250,0.75,0.4,1.0,2,1100002,250,96049,0.19306331658291456,4.828879800043069
2,250,1.0,0.4,0.0,0,2000000,0,500,0.0005025125628140704,4.294233400025405
2,250,1.0,0.4,0.0,1,2000001,0,500,0.0005025125628140704,4.491468399995938
2,250,1.0,0.4,0.0,2,2000002,0,500,0.0005025125628140704,4.476640400011092
2,250,1.0,0.4,0.2,0,2020000,50,116741,0.23344723618090452,4.7715233999770135
2,250,1.0,0.4,0.2,1,2020001,50,101952,0.20362412060301507,4.778858000063337
2,250,1.0,0.4,0.2,2,2020002,50,119764,0.23948542713567839,4.6651031000074
2,250,1.0,0.4,0.4,0,2040000,100,146325,0.29268140703517587,4.809701699996367
2,250,1.0,0.4,0.4,1,2040001,100,154074,0.3083417085427136,4.81671839999035
2,250,1.0,0.4,0.4,2,2040002,100,147818,0.2958211055276382,4.480524100014009
2,250,1.0,0.4,0.6000000000000001,0,2060000,150,164609,0.3292281407035176,4.953594399965368
2,250,1.0,0.4,0.6000000000000001,1,2060001,150,160050,0.32017688442211056,4.985499600064941
2,250,1.0,0.4,0.6000000000000001,2,2060002,150,160635,0.32140100502512564,4.893760800012387
2,250,1.0,0.4,0.8,0,2080000,200,163924,0.3277889447236181,4.9491783999837935
2,250,1.0,0.4,0.8,1,2080001,200,165141,0.3301326633165829,5.109192500007339
2,250,1.0,0.4,0.8,2,2080002,200,150283,0.3002613065326633,4.566152499988675
2,250,1.0,0.4,1.0,0,2100000,250,165126,0.3297929648241206,4.962187299970537
2,250,1.0,0.4,1.0,1,2100001,250,166391,0.33238391959798996,5.091246799915098
2,250,1.0,0.4,1.0,2,2100002,250,159491,0.3184683417085427,4.9092045000288635
3,250,1.25,0.4,0.0,0,3000000,0,241250,0.4834170854271357,4.832977500045672
3,250,1.25,0.4,0.0,1,3000001,0,241250,0.4834170854271357,4.926774200052023
3,250,1.25,0.4,0.0,2,3000002,0,241250,0.4834170854271357,4.925985099980608
3,250,1.25,0.4,0.2,0,3020000,50,242111,0.4843638190954774,5.0119399999966845
3,250,1.25,0.4,0.2,1,3020001,50,220193,0.44030954773869346,4.951686699991114
3,250,1.25,0.4,0.2,2,3020002,50,244525,0.489191959798995,5.0150615000166
3,250,1.25,0.4,0.4,0,3040000,100,247813,0.4955899497487437,5.083589099929668
3,250,1.25,0.4,0.4,1,3040001,100,242955,0.4857829145728643,4.921068799914792
3,250,1.25,0.4,0.4,2,3040002,100,244649,0.4892040201005025,5.0593766999663785
3,250,1.25,0.4,0.6000000000000001,0,3060000,150,243948,0.4876964824120603,5.043439400033094
3,250,1.25,0.4,0.6000000000000001,1,3060001,150,245048,0.48988341708542715,5.058513000025414
3,250,1.25,0.4,0.6000000000000001,2,3060002,150,248117,0.49607236180904524,5.127637999947183
3,250,1.25,0.4,0.8,0,3080000,200,251297,0.5023396984924623,5.030695699970238
