N,p,realization,seed,number_of_shortcuts,clustering_coefficient,total_spikes,mean_firing_rate
1000,0.9,2,900002,900,0.003302380952380953,1021,0.002617948717948718
1000,0.9,3,900003,900,0.0033476190476190476,1055,0.002705128205128205
1000,0.9,4,900004,900,0.0028015873015873015,1039,0.002664102564102564
1000,0.9,5,900005,900,0.001780952380952381,1041,0.0026692307692307692
1000,0.9,6,900006,900,0.0034,1021,0.002617948717948718
1000,0.9,7,900007,900,0.00125,1037,0.002658974358974359
1000,0.9,8,900008,900,0.002488095238095238,1058,0.002712820512820513
1000,0.9,9,900009,900,0.0021476190476190475,1052,0.0026974358974358975
1000,1.0,0,1000000,1000,0.003936507936507936,1044,0.0026769230769230767
1000,1.0,1,1000001,1000,0.0027634920634920634,1043,0.0026743589743589745
1000,1.0,2,1000002,1000,0.004261111111111111,1042,0.002671794871794872
1000,1.0,3,1000003,1000,0.001223015873015873,1044,0.0026769230769230767
1000,1.0,4,1000004,1000,0.0018357142857142856,1034,0.002651282051282051
1000,1.0,5,1000005,1000,0.0027420634920634923,1075,0.0027564102564102562
1000,1.0,6,1000006,1000,0.0021373015873015874,1068,0.0027384615384615386
1000,1.0,7,1000007,1000,0.00319047619047619,1075,0.0027564102564102562
1000,1.0,8,1000008,1000,0.002506349206349206,1050,0.002692307692307692
1000,1.0,9,1000009,1000,0.0015166666666666666,1049,0.0026897435897435895
